N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"72,700","1,300",+1.82%,100,"4,340,032","5,969,783",56.14,"30,491,972",25.08,4.15,
2,SK하이닉스,"164,300","8,200",+5.25%,"5,000","1,196,108","728,002",54.36,"7,101,040",-25.93,-15.61,
3,LG에너지솔루션,"334,500","12,500",+3.88%,500,"782,730","234,000",4.72,"204,428",106.33,6.36,
4,삼성바이오로직스,"922,000","32,000",+3.60%,"2,500","656,224","71,174",12.70,"121,906",73.30,9.12,
5,현대차,"233,000","9,000",+4.02%,"5,000","487,940","209,416",40.62,"838,754",5.38,13.68,
6,삼성전자우,"58,500","2,400",+4.28%,100,"481,389","822,887",75.99,"1,333,809",20.18,N/A,
7,기아,"102,200","5,900",+6.13%,"5,000","408,655","399,858",41.54,"1,217,052",4.34,20.44,
8,셀트리온,"183,700","1,200",+0.66%,"1,000","398,617","216,993",23.09,"983,386",77.18,5.07,
9,KB금융,"80,600","3,800",+4.95%,"5,000","325,230","403,511",76.25,"1,407,730",7.78,8.44,
10,POSCO홀딩스,"331,000","16,500",+5.25%,"5,000","279,931","84,571",28.06,"414,536",18.51,3.18,
11,신한지주,"54,100","1,300",+2.46%,"5,000","275,582","509,393",60.61,"1,401,457",6.50,8.36,
12,NAVER,"159,200","3,100",+1.99%,100,"258,554","162,409",43.64,"630,523",17.72,4.41,
13,삼성물산,"135,000",300,-0.22%,100,"240,009","177,784",26.87,"248,112",11.14,7.28,
14,삼성SDI,"316,000","12,000",+3.95%,"5,000","217,296","68,765",38.69,"270,919",12.07,11.48,
15,LG화학,"288,000","15,500",+5.69%,"5,000","203,306","70,592",36.05,"283,914",22.54,4.20,
16,현대모비스,"212,500","8,500",+4.17%,"5,000","197,615","92,995",40.30,"137,882",5.80,8.73,
17,HD현대중공업,"207,500","21,500",+11.56%,"5,000","184,204","88,773",10.03,"413,524",249.40,0.47,
18,삼성생명,"86,000","2,000",+2.38%,500,"172,000","200,000",20.77,"216,202",9.50,4.95,
19,하나금융지주,"58,400","1,700",+3.00%,"5,000","170,736","292,357",69.61,"810,602",5.12,9.01,
20,카카오,"38,350","2,050",+5.65%,100,"170,061","443,443",26.73,"1,156,017",-16.78,-10.26,
21,포스코퓨처엠,"214,000","11,000",+5.42%,500,"165,771","77,463",9.41,"354,555",333.33,1.19,
22,삼성화재,"337,500","9,500",+2.90%,500,"159,890","47,375",54.19,"55,461",8.95,12.73,
23,LG전자,"90,300",600,+0.67%,"5,000","147,774","163,648",32.45,"900,451",22.79,3.69,
24,메리츠금융지주,"76,100","1,600",+2.15%,500,"145,138","190,720",16.72,"336,861",7.47,28.11,
25,HD한국조선해양,"194,100","21,300",+12.33%,"5,000","137,371","70,773",30.29,"755,285",24.96,2.26,
26,크래프톤,"285,000","12,000",+4.40%,100,"136,488","47,890",39.96,"60,127",20.39,11.16,
27,한화에어로스페이스,"265,000","2,000",-0.75%,"5,000","134,170","50,630",36.92,"955,189",33.91,25.60,
28,HMM,"17,320","1,040",+6.39%,"5,000","129,734","749,039",10.24,"1,876,033",8.59,4.59,
29,LG,"78,500",400,+0.51%,"5,000","123,481","157,301",35.63,"117,664",10.92,4.89,
30,한국전력,"19,040",640,+3.48%,"5,000","122,230","641,964",14.56,"1,516,641",17.83,-12.63,
31,KT&G,"89,100","1,800",+2.06%,"5,000","116,117","130,322",44.55,"212,237",13.11,9.76,
32,SK텔레콤,"52,500",600,+1.16%,100,"112,765","214,790",41.99,"484,853",9.91,9.63,
33,두산에너빌리티,"16,950","1,090",+6.87%,"5,000","108,575","640,561",21.20,"5,570,951",83.50,0.78,
34,삼성에스디에스,"139,300","4,200",+3.11%,500,"107,787","77,378",19.24,"85,560",15.36,8.22,
35,우리금융지주,"14,280",300,+2.15%,"5,000","106,042","742,592",44.64,"2,705,251",4.40,8.30,
36,기업은행,"13,220",310,+2.40%,"5,000","105,420","797,426",15.36,"1,207,186",3.86,8.79,
37,삼성전기,"139,300","1,100",+0.80%,"5,000","104,048","74,694",34.71,"263,715",21.85,5.50,
38,한미반도체,"106,900","4,300",+4.19%,100,"103,686","96,994",14.08,"1,450,980",51.10,55.54,
39,HD현대일렉트릭,"279,000","14,500",+5.48%,"5,000","100,572","36,047",32.90,"740,201",31.05,27.71,
40,아모레퍼시픽,"171,600","11,900",+7.45%,500,"100,374","58,493",30.46,"262,328",69.11,3.72,
41,SK,"137,500","6,200",+4.72%,200,"99,691","72,503",23.58,"137,294",-13.67,-3.67,
42,SK스퀘어,"73,100","2,700",+3.84%,100,"98,502","134,750",52.94,"146,939",-24.89,-8.04,
43,고려아연,"466,000","11,500",+2.53%,"5,000","96,477","20,703",18.44,"19,208",19.27,5.72,
44,삼성중공업,"10,870",820,+8.16%,"1,000","95,656","880,000",32.05,"13,036,289",-63.94,-4.22,
45,SK이노베이션,"99,000","6,200",+6.68%,"5,000","94,778","95,736",21.64,"332,873",30.99,1.22,
46,KT,"37,250",200,+0.54%,"5,000","93,878","252,022",47.09,"580,110",8.86,6.05,
47,카카오뱅크,"19,680",500,+2.61%,"5,000","93,859","476,926",16.29,"848,166",25.76,6.00,
48,KODEX CD금리액티브(합성),"1,044,165",90,+0.01%,0,"89,781","8,598",0.01,"876,423",N/A,N/A,
49,한화오션,"29,300","2,350",+8.72%,"5,000","89,779","306,413",16.94,"1,619,675",22.43,6.33,
50,포스코인터내셔널,"48,700","1,600",+3.40%,"5,000","85,674","175,923",6.59,"736,945",12.80,13.36,
51,현대글로비스,"107,700",300,+0.28%,500,"80,775","75,000",42.46,"256,121",7.45,14.52,
52,대한항공,"20,150",250,+1.26%,"5,000","74,196","368,221",16.19,"752,214",6.19,11.46,
53,S-Oil,"65,400",600,+0.93%,"2,500","73,629","112,583",77.35,"206,310",8.97,10.83,
54,하이브,"170,000",100,-0.06%,500,"70,809","41,652",20.28,"165,201",39.29,6.58,
55,DB손해보험,"98,000","2,200",+2.30%,500,"69,384","70,800",47.94,"70,249",3.87,15.66,
56,유한양행,"86,400","3,600",+4.35%,"1,000","69,301","80,209",20.74,"657,684",55.56,6.74,
57,TIGER CD금리투자KIS(합성),"54,725",0,0.00%,0,"66,946","122,332",0.00,"167,873",N/A,N/A,
58,SK바이오팜,"79,700","2,300",+2.97%,500,"62,416","78,313",10.57,"102,880",-352.65,-10.96,
59,HD현대,"78,400","1,600",+2.08%,"1,000","61,931","78,993",19.66,"180,125",15.27,3.57,
60,KODEX 200,"34,350","1,090",+3.28%,0,"56,403","164,200",30.44,"9,224,364",N/A,N/A,
61,LG이노텍,"232,500","15,000",+6.90%,"5,000","55,026","23,667",26.01,"144,299",8.87,12.59,
62,넷마블,"63,900","3,400",+5.62%,100,"54,924","85,954",25.25,"185,737",-25.15,-4.90,
63,현대차2우B,"153,400","3,700",+2.47%,"5,000","54,855","35,759",62.90,"111,921",3.54,N/A,
64,LG생활건강,"345,500","18,500",+5.66%,"5,000","53,961","15,618",27.43,"54,412",38.76,2.65,
65,에코프로머티,"77,200","4,900",+6.78%,500,"53,322","69,071",24.44,"419,927",-539.86,0.91,
66,LG디스플레이,"10,590",510,+5.06%,"5,000","52,950","500,000",21.29,"1,353,394",-1.84,-31.95,
67,HD현대마린솔루션,"117,400","5,300",+4.73%,500,"52,184","44,450",1.42,"87,651",31.07,71.59,
68,CJ제일제당,"345,500","2,500",+0.73%,"5,000","52,012","15,054",26.14,"17,895",12.01,5.55,
69,맥쿼리인프라,"11,900",310,+2.67%,0,"51,858","435,781",11.49,"1,085,465",N/A,N/A,
70,한국타이어앤테크놀로지,"41,250","2,600",+6.73%,500,"51,098","123,875",39.90,"298,503",5.19,7.85,
71,삼성E&A,"25,950","1,350",+5.49%,"5,000","50,862","196,000",47.30,"1,052,533",6.89,24.45,
72,한국항공우주,"51,400","1,200",+2.39%,"5,000","50,102","97,475",31.82,"755,241",21.78,14.81,
73,LS ELECTRIC,"166,000","8,600",+5.46%,"5,000","49,800","30,000",20.18,"613,997",21.30,12.61,
74,현대로템,"44,700",0,0.00%,"5,000","48,787","109,142",24.53,"2,559,273",24.59,10.06,
75,SKC,"120,400","6,300",+5.52%,"5,000","45,593","37,868",16.28,"272,332",-20.60,-17.57,
76,삼성카드,"39,050",450,-1.14%,"5,000","45,243","115,859",6.92,"47,050",7.05,7.61,
77,KODEX KOFR금리액티브(합성),"107,620",0,0.00%,0,"44,959","41,776",0.00,"27,537",N/A,N/A,
78,NH투자증권,"13,230",520,+4.09%,"5,000","43,327","327,492",18.05,"813,394",7.76,7.50,
79,LG유플러스,"9,830",190,+1.97%,"5,000","42,919","436,611",35.22,"646,776",7.13,7.49,
80,HD현대미포,"106,000","5,000",+4.95%,"5,000","42,339","39,942",21.24,"551,901",-31.00,-6.96,
81,한진칼,"63,400","2,200",+3.59%,"2,500","42,327","66,762",21.96,"117,274",9.69,14.79,
82,삼양식품,"558,000","30,000",+5.68%,"5,000","42,034","7,533",15.14,"110,575",24.66,24.81,
83,현대오토에버,"151,900","7,400",+5.12%,500,"41,657","27,424",1.72,"73,680",31.55,9.01,
84,LIG넥스원,"189,300","9,700",+5.40%,"5,000","41,646","22,000",21.03,"284,762",23.69,17.61,
85,미래에셋증권,"6,980",320,+4.80%,"5,000","41,553","595,316",13.63,"680,626",20.77,2.97,
86,GS,"44,600",550,+1.25%,"5,000","41,440","92,915",23.37,"72,843",3.33,10.05,
87,코웨이,"55,800",300,+0.54%,500,"41,180","73,800",60.20,"156,187",8.69,19.03,
88,TIGER 미국S&P500,"17,950",280,+1.58%,0,"40,908","227,900",0.00,"4,967,305",N/A,N/A,
89,포스코DX,"26,750","1,900",+7.65%,500,"40,669","152,035",6.62,"717,039",44.21,21.08,
90,두산로보틱스,"62,600","3,300",+5.56%,500,"40,577","64,820",3.45,"461,155",-252.42,-6.59,
91,SK바이오사이언스,"52,700","3,350",+6.79%,500,"40,488","76,828",6.74,"117,114",176.85,1.30,
92,한화솔루션,"23,550",600,+2.61%,"5,000","40,481","171,893",21.54,"756,973",-5.24,-2.48,
93,롯데케미칼,"92,500","3,400",+3.82%,"5,000","39,567","42,775",24.98,"84,257",-14.40,-0.33,
